,batch_id,comparison_id,document_id,result,hit_id,worker_id,completed_at
1,22,5379,5011,1,36AZSFEYZ4AUAKSW2XPHX1AD9TQVBN,A3KCUB6P3IE8NL,2015-10-15 09:00:33 UTC
2,22,5379,5012,0,36AZSFEYZ4AUAKSW2XPHX1AD9TQVBN,A3KCUB6P3IE8NL,2015-10-15 09:00:33 UTC
3,22,5603,4974,1,3BS6ERDL93H2ARBFFL8FGZIEVLC6DF,AOO39X8E3OJYY,2015-10-15 09:01:55 UTC
4,22,5603,4991,0,3BS6ERDL93H2ARBFFL8FGZIEVLC6DF,AOO39X8E3OJYY,2015-10-15 09:01:55 UTC
5,22,5478,5002,0,36QZ6V1589NTERKY8T17R4IUZA2USX,A177EXELDLWTWV,2015-10-15 09:01:09 UTC
6,22,5478,4983,1,36QZ6V1589NTERKY8T17R4IUZA2USX,A177EXELDLWTWV,2015-10-15 09:01:09 UTC
7,22,5441,4970,0,3O4VWC1GEWGGGUOP6FWSCU17QE6J3Z,A1FKZ2HY4XKMG1,2015-10-15 09:00:54 UTC
8,22,5441,4976,1,3O4VWC1GEWGGGUOP6FWSCU17QE6J3Z,A1FKZ2HY4XKMG1,2015-10-15 09:00:54 UTC
9,22,5543,4993,0,35XW21VSVGOQV1X4ZF960HMBMJALSV,A2HGRSPR50ENHL,2015-10-15 09:01:34 UTC
10,22,5543,4984,1,35XW21VSVGOQV1X4ZF960HMBMJALSV,A2HGRSPR50ENHL,2015-10-15 09:01:34 UTC
11,22,5596,5004,0,3PCPFX4U400SIT8VL0H3A42Q7Z3QF6,ALLP45O3BDWYM,2015-10-15 09:01:53 UTC
12,22,5596,5010,1,3PCPFX4U400SIT8VL0H3A42Q7Z3QF6,ALLP45O3BDWYM,2015-10-15 09:01:53 UTC
13,22,5591,4987,1,3ICOHX7ENCLCOM309R3IDGQ8IUQ0E0,ALLP45O3BDWYM,2015-10-15 09:01:51 UTC
14,22,5591,4976,0,3ICOHX7ENCLCOM309R3IDGQ8IUQ0E0,ALLP45O3BDWYM,2015-10-15 09:01:51 UTC
15,22,5374,5000,0,38F60IALAGRED5LXZMSDC2Q9L4E0TR,A365SN61J4UNGR,2015-10-15 09:00:31 UTC
16,22,5374,4994,1,38F60IALAGRED5LXZMSDC2Q9L4E0TR,A365SN61J4UNGR,2015-10-15 09:00:31 UTC
17,22,5401,4984,1,3G3AJKPCXL2RTF2SST2EWM81HIBY4T,A1LJ4WAEDGELVL,2015-10-15 09:00:40 UTC
18,22,5401,5005,0,3G3AJKPCXL2RTF2SST2EWM81HIBY4T,A1LJ4WAEDGELVL,2015-10-15 09:00:40 UTC
19,22,5370,5012,0,3APP19WN71O5MBL6HB9NMKLB8DRG6Y,ALLP45O3BDWYM,2015-10-15 09:00:29 UTC
20,22,5370,5007,1,3APP19WN71O5MBL6HB9NMKLB8DRG6Y,ALLP45O3BDWYM,2015-10-15 09:00:29 UTC
21,22,5369,4969,1,363A7XIFV4WPRAN4WJPL2QQ7RB5VAS,A38K3QQPV8CTPC,2015-10-15 09:00:29 UTC
22,22,5369,5008,0,363A7XIFV4WPRAN4WJPL2QQ7RB5VAS,A38K3QQPV8CTPC,2015-10-15 09:00:29 UTC
23,22,5371,4991,1,3VZYA8PITO8CS3A7YQAF9MKV51R05Z,A177EXELDLWTWV,2015-10-15 09:00:30 UTC
24,22,5371,5011,0,3VZYA8PITO8CS3A7YQAF9MKV51R05Z,A177EXELDLWTWV,2015-10-15 09:00:30 UTC
25,22,5365,4982,0,3PA41K45VNEU3OSA3442M7ZZ4FXP79,A1FKZ2HY4XKMG1,2015-10-15 09:00:28 UTC
26,22,5365,4970,1,3PA41K45VNEU3OSA3442M7ZZ4FXP79,A1FKZ2HY4XKMG1,2015-10-15 09:00:28 UTC
27,22,5366,4996,0,3O71U79SRBZA1JFPZRAL0U10MO0SM4,A365SN61J4UNGR,2015-10-15 09:00:28 UTC
28,22,5366,5004,1,3O71U79SRBZA1JFPZRAL0U10MO0SM4,A365SN61J4UNGR,2015-10-15 09:00:28 UTC
29,22,5368,4985,1,3OEWW2KGQJLSZXHJFHU9XZ45GL5ODL,A27FVH8VVIL20T,2015-10-15 09:00:29 UTC
30,22,5368,4995,0,3OEWW2KGQJLSZXHJFHU9XZ45GL5ODL,A27FVH8VVIL20T,2015-10-15 09:00:29 UTC
31,22,5363,4975,1,368IUKXGA5IBZOE5KUZAGTZ394DP6A,A248P03SBIGVNH,2015-10-15 09:00:27 UTC
32,22,5363,4996,0,368IUKXGA5IBZOE5KUZAGTZ394DP6A,A248P03SBIGVNH,2015-10-15 09:00:27 UTC
33,22,5386,5020,0,3QGTX7BCHPC9UOGX2KN7FLNHN8A5ZW,A365SN61J4UNGR,2015-10-15 09:00:35 UTC
34,22,5386,4971,1,3QGTX7BCHPC9UOGX2KN7FLNHN8A5ZW,A365SN61J4UNGR,2015-10-15 09:00:35 UTC
35,22,5383,4988,0,3PIOQ99R7YWWYEST0XKLSA8OCBUUNL,A38K3QQPV8CTPC,2015-10-15 09:00:34 UTC
36,22,5383,4987,1,3PIOQ99R7YWWYEST0XKLSA8OCBUUNL,A38K3QQPV8CTPC,2015-10-15 09:00:34 UTC
37,22,5416,5007,0,306W7JMRYY8WZ8WJU4E75NQ5YVP8BV,ALLP45O3BDWYM,2015-10-15 09:00:46 UTC
38,22,5416,5004,1,306W7JMRYY8WZ8WJU4E75NQ5YVP8BV,ALLP45O3BDWYM,2015-10-15 09:00:46 UTC
39,22,5393,5016,0,33QQ60S6ASSTDI0MZRINHYCB4IL0UI,A3KCUB6P3IE8NL,2015-10-15 09:00:38 UTC
40,22,5393,4984,1,33QQ60S6ASSTDI0MZRINHYCB4IL0UI,A3KCUB6P3IE8NL,2015-10-15 09:00:38 UTC
41,22,5407,4970,1,3N2YPY1GI68SHN4GCOR7Y9GYCQ3VEN,A2QLSHXNCHBRN4,2015-10-15 09:00:43 UTC
42,22,5407,4997,0,3N2YPY1GI68SHN4GCOR7Y9GYCQ3VEN,A2QLSHXNCHBRN4,2015-10-15 09:00:43 UTC
43,22,5389,4981,0,3NI0WFPPI9Q8B7AL39KK1SYV1W206F,A177EXELDLWTWV,2015-10-15 09:00:36 UTC
44,22,5389,5014,1,3NI0WFPPI9Q8B7AL39KK1SYV1W206F,A177EXELDLWTWV,2015-10-15 09:00:36 UTC
45,22,5414,5004,0,3VAOOVPI3Z23RO2EF6C5OV8GUP2LLH,A10BH9PYCYUKDJ,2015-10-15 09:00:45 UTC
46,22,5414,4986,1,3VAOOVPI3Z23RO2EF6C5OV8GUP2LLH,A10BH9PYCYUKDJ,2015-10-15 09:00:45 UTC
47,22,5409,5015,0,3YCT0L9OMMJGJ10PBSPLD9Q0REASN4,A19CB2C4GY4C60,2015-10-15 09:00:43 UTC
48,22,5409,4985,1,3YCT0L9OMMJGJ10PBSPLD9Q0REASN4,A19CB2C4GY4C60,2015-10-15 09:00:43 UTC
49,22,5392,4992,0,36KM3FWE3RMRF7OQMJPC76YRW7M07E,A27FVH8VVIL20T,2015-10-15 09:00:37 UTC
50,22,5392,5002,1,36KM3FWE3RMRF7OQMJPC76YRW7M07E,A27FVH8VVIL20T,2015-10-15 09:00:37 UTC
51,22,5397,4998,1,3MG8450X2OKW1Z46GCXDWZDJCQVUPH,A19CB2C4GY4C60,2015-10-15 09:00:39 UTC
52,22,5397,5009,0,3MG8450X2OKW1Z46GCXDWZDJCQVUPH,A19CB2C4GY4C60,2015-10-15 09:00:39 UTC
53,22,5417,4997,0,3WYZV0QBFJNME9XR2CQZLM7YP4XXBR,A2QLSHXNCHBRN4,2015-10-15 09:00:46 UTC
54,22,5417,4981,1,3WYZV0QBFJNME9XR2CQZLM7YP4XXBR,A2QLSHXNCHBRN4,2015-10-15 09:00:46 UTC
